Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Alaa Abdelnaby\abdelal01,PF,25,BOS,13,159,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,,-0.2,0.1,-0.1,-0.032,,-7.1,-3.1,-10.2,-0.3,East
2,Mahmoud Abdul-Rauf\abdulma02,PG,24,DEN,80,2617,16.7,0.521,0.10400000000000001,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,0.125,,1.6,-2.1,-0.6,0.9,West
3,Michael Adams\adamsmi01,PG,31,WSB,70,2337,14.2,0.52,0.27399999999999997,0.387,1.8,7.4,4.6,29.8,2.1,0.2,17.0,18.1,,2.9,0.2,3.1,0.063,,0.9,-2.5,-1.6,0.2,East
4,Mark Aguirre\aguirma01,SF,34,LAC,39,859,13.1,0.544,0.267,0.207,3.5,10.8,7.2,18.5,1.2,0.6,15.6,21.6,,0.6,0.3,0.9,0.05,,0.0,-2.1,-2.1,0.0,West
5,Danny Ainge\aingeda01,SG,34,PHO,68,1555,11.8,0.524,0.45399999999999996,0.175,2.0,7.4,4.7,15.9,1.8,0.3,12.3,17.8,,1.9,1.0,2.8,0.087,,0.7,-1.9,-1.3,0.3,West
6,Gary Alexander\alexaga01,PF,24,TOT,11,55,8.6,0.529,0.0,0.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-5.1,-0.7,-5.8,-0.1,NaN
6,Gary Alexander\alexaga01,PF,24,MIA,4,12,0.8,0.34700000000000003,0.0,1.0,9.4,19.0,14.2,11.5,0.0,0.0,25.8,13.9,,0.0,0.0,0.0,-0.09,,-6.9,-1.4,-8.3,0.0,East
6,Gary Alexander\alexaga01,PF,24,CLE,7,43,10.7,0.564,0.0,0.583,16.2,16.2,16.2,3.7,3.7,0.0,31.7,23.0,,-0.1,0.1,0.0,-0.015,,-4.6,-0.6,-5.1,0.0,East
7,Victor Alexander\alexavi01,C,24,GSW,69,1318,14.0,0.539,0.026000000000000002,0.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,,1.1,1.1,2.3,0.083,,-1.3,-1.4,-2.8,-0.3,West
8,Eric Anderson\anderer01,PF,23,NYK,11,39,15.2,0.45299999999999996,0.11800000000000001,0.8240000000000001,17.8,31.3,24.7,8.5,0.0,1.8,7.9,28.3,,0.0,0.1,0.1,0.126,,-2.5,-2.1,-4.6,0.0,East
9,Greg Anderson\andergr01,PF,29,DET,77,1624,14.6,0.561,0.008,0.41600000000000004,12.3,26.9,19.5,4.6,1.7,2.7,17.7,14.3,,1.4,2.0,3.4,0.10099999999999999,,-2.3,1.3,-1.1,0.4,East
10,Kenny Anderson\anderke01,PG,23,NJN,82,3135,18.2,0.491,0.096,0.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,,4.3,3.2,7.5,0.114,,2.7,-0.6,2.1,3.2,East
11,Nick Anderson\anderni01,SG,26,ORL,81,2811,16.9,0.5489999999999999,0.298,0.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,,4.6,3.0,7.6,0.129,,2.4,0.6,3.0,3.6,East
12,Ron Anderson\anderro01,SF,35,TOT,21,356,9.9,0.499,0.302,0.267,4.9,11.8,8.3,6.8,1.1,0.5,9.4,12.7,,0.3,0.2,0.5,0.061,,-1.8,-1.4,-3.2,-0.1,NaN
12,Ron Anderson\anderro01,SF,35,NJN,11,176,9.5,0.456,0.27899999999999997,0.27899999999999997,4.7,11.0,7.8,4.8,1.4,0.7,2.0,11.8,,0.2,0.2,0.3,0.09,,-2.0,-0.5,-2.5,0.0,East
12,Ron Anderson\anderro01,SF,35,WSB,10,180,10.2,0.5429999999999999,0.326,0.256,5.1,12.6,8.8,8.7,0.8,0.3,15.8,13.6,,0.1,0.0,0.1,0.033,,-1.6,-2.3,-3.9,-0.1,East
13,Willie Anderson\anderwi01,SG,27,SAS,80,2488,14.2,0.523,0.081,0.204,3.2,7.5,5.5,21.6,1.5,1.2,14.4,19.2,,3.2,2.3,5.6,0.107,,0.3,-0.3,0.0,1.3,West
14,Greg Anthony\anthogr01,PG,26,NYK,80,1994,13.0,0.48700000000000004,0.28,0.294,2.5,8.1,5.4,27.3,3.0,0.5,16.5,17.0,,1.6,3.9,5.5,0.132,,-0.6,1.6,1.0,1.5,East
15,B.J. Armstrong\armstbj01,PG,26,CHI,82,2770,14.5,0.547,0.134,0.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,,4.9,2.6,7.5,0.13,,0.6,-1.5,-0.9,0.8,East
16,Vincent Askew\askewvi01,SG,27,SEA,80,1690,15.9,0.551,0.055,0.37200000000000005,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,,3.9,2.1,6.0,0.16899999999999998,,0.8,-0.2,0.6,1.1,West
17,Keith Askins\askinke01,SF,26,MIA,37,319,8.2,0.46,0.239,0.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,,-0.1,0.4,0.3,0.044000000000000004,,-2.8,-0.9,-3.7,-0.1,East
18,Stacey Augmon\augmost01,SG,25,ATL,82,2605,17.9,0.5760000000000001,0.008,0.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,,5.7,4.0,9.7,0.179,,1.7,1.6,3.3,3.5,East
19,Isaac Austin\austiis01,C,24,PHI,14,201,14.1,0.473,0.015,0.348,13.6,24.1,18.8,13.2,1.2,3.0,18.3,20.1,,0.0,0.2,0.2,0.04,,-3.1,0.7,-2.5,0.0,East
20,Anthony Avent\aventan01,PF,24,TOT,74,1371,9.2,0.43,0.0,0.309,11.7,16.4,14.0,6.8,1.2,1.5,15.8,16.9,,-0.6,1.0,0.4,0.013999999999999999,,-4.1,-0.6,-4.6,-0.9,NaN
20,Anthony Avent\aventan01,PF,24,MIL,33,695,11.3,0.466,0.0,0.34600000000000003,9.4,16.5,12.7,7.4,1.2,1.9,14.1,19.0,,-0.1,0.4,0.3,0.022000000000000002,,-4.0,-1.0,-5.1,-0.5,East
20,Anthony Avent\aventan01,PF,24,ORL,41,676,7.1,0.38,0.0,0.259,14.1,16.4,15.3,6.2,1.3,1.0,18.2,14.6,,-0.5,0.6,0.1,0.006,,-4.1,0.0,-4.2,-0.4,East
21,John Bagley\baglejo01,PG,33,ATL,3,13,7.6,0.34700000000000003,0.0,1.0,0.0,8.5,4.2,28.1,0.0,0.0,0.0,9.5,,0.0,0.0,0.0,0.105,,-5.2,-3.7,-8.9,0.0,East
22,Thurl Bailey\baileth01,PF,32,MIN,79,1297,15.2,0.56,0.004,0.327,6.1,13.2,9.7,7.2,0.8,2.9,10.0,19.5,,1.9,0.7,2.6,0.09699999999999999,,-1.3,-1.2,-2.5,-0.2,West
23,Vin Baker\bakervi01,C,22,MIL,82,2560,16.1,0.526,0.006,0.473,11.8,16.3,13.9,10.6,1.2,3.0,13.4,20.5,,2.6,1.7,4.4,0.08199999999999999,,-0.3,0.3,0.0,1.3,East
24,Charles Barkley*\barklch01,PF,30,PHO,65,2298,22.8,0.563,0.17,0.43200000000000005,9.8,25.6,17.8,20.0,2.2,1.0,14.2,26.5,,5.6,3.3,8.8,0.185,,4.1,1.5,5.7,4.5,West
25,Dana Barros\barroda01,PG,26,PHI,81,2519,16.0,0.5710000000000001,0.40299999999999997,0.165,1.2,7.3,4.3,27.2,2.1,0.1,15.1,19.1,,3.9,0.8,4.7,0.08900000000000001,,2.3,-2.5,-0.2,1.2,East
26,Jon Barry\barryjo01,SG,24,MIL,72,1242,14.6,0.511,0.301,0.319,3.2,10.8,6.8,21.0,4.2,0.9,16.0,18.1,,0.8,1.3,2.1,0.08,,-0.5,0.4,-0.1,0.6,East
27,John Battle\battljo01,SG,31,CLE,51,814,12.2,0.535,0.07,0.355,1.0,4.6,2.8,16.2,1.4,0.1,11.5,19.6,,0.9,0.5,1.4,0.084,,-1.6,-3.0,-4.6,-0.5,East
28,Benoit Benjamin\benjabe01,C,29,NJN,77,1817,14.2,0.525,0.0,0.363,7.7,21.5,14.5,3.8,1.0,3.1,12.4,18.1,,1.4,2.6,4.1,0.107,,-2.8,0.4,-2.4,-0.2,East
29,Tony Bennett\benneto01,PG,24,CHH,74,983,9.9,0.46,0.285,0.057,1.9,8.1,5.1,22.2,2.0,0.1,12.9,13.4,,0.5,0.5,0.9,0.045,,-1.7,-1.7,-3.4,-0.3,East
30,David Benoit\benoida01,SF,25,UTA,55,1070,10.9,0.44799999999999995,0.163,0.244,9.7,18.2,14.0,3.2,1.1,2.4,8.5,18.1,,0.1,1.5,1.6,0.07200000000000001,,-3.1,-0.2,-3.3,-0.3,West
31,Rolando Blackman\blackro01,SG,34,NYK,55,969,11.3,0.51,0.228,0.14400000000000002,2.7,8.0,5.4,12.7,1.3,0.4,10.1,19.7,,0.9,1.5,2.4,0.11800000000000001,,-1.4,-0.5,-1.8,0.0,East
32,Mookie Blaylock\blaylmo01,PG,26,ATL,81,2915,19.6,0.48700000000000004,0.316,0.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,,4.9,5.3,10.2,0.168,,3.4,1.9,5.3,5.4,East
33,Corie Blount\blounco01,PF,25,CHI,67,690,12.3,0.478,0.0,0.431,12.9,20.0,16.5,11.4,1.4,3.3,20.1,16.6,,0.0,1.2,1.2,0.085,,-3.3,2.1,-1.2,0.1,East
34,Muggsy Bogues\boguemu01,PG,29,CHH,77,2746,16.2,0.51,0.016,0.20600000000000002,3.2,9.2,6.3,39.2,2.4,0.0,17.3,15.4,,4.8,1.7,6.4,0.11199999999999999,,1.1,-1.0,0.1,1.5,East
35,Manute Bol\bolma01,C,31,TOT,14,116,3.1,0.21100000000000002,0.158,0.0,2.9,14.6,8.7,1.1,0.9,8.8,20.8,8.9,,-0.3,0.1,-0.2,-0.066,,-10.4,2.4,-8.0,-0.2,NaN
35,Manute Bol\bolma01,C,31,MIA,8,61,-3.4,0.083,0.25,0.0,1.9,18.7,10.2,0.0,0.0,6.8,29.4,12.0,,-0.3,0.1,-0.3,-0.19699999999999998,,-14.5,0.3,-14.1,-0.2,East
35,Manute Bol\bolma01,C,31,WSB,2,6,10.7,,,,0.0,19.9,9.7,20.6,0.0,10.4,,0.0,,0.0,0.0,0.0,0.10400000000000001,,-6.2,5.5,-0.7,0.0,East
35,Manute Bol\bolma01,C,31,PHI,4,49,10.2,0.429,0.0,0.0,4.5,9.0,6.7,0.0,2.0,11.1,0.0,6.2,,0.0,0.1,0.1,0.076,,-5.9,4.7,-1.2,0.0,East
36,Walter Bond\bondwa01,SG,24,UTA,56,559,9.1,0.507,0.34600000000000003,0.256,4.2,8.3,6.3,8.0,1.5,1.5,8.9,15.1,,0.5,0.6,1.0,0.08900000000000001,,-1.1,-0.2,-1.3,0.1,West
37,Anthony Bonner\bonnean01,SF,25,NYK,73,1402,12.6,0.56,0.0,0.365,12.4,15.4,13.9,9.4,2.8,0.7,21.0,13.2,,0.9,3.2,4.1,0.14,,-0.8,3.7,2.9,1.7,East
38,Anthony Bowie\bowiean01,SG,30,ORL,70,948,11.5,0.515,0.062,0.17,3.5,10.7,7.1,15.4,1.7,0.8,15.7,16.6,,0.6,0.7,1.3,0.065,,-2.2,-0.7,-2.9,-0.2,East
39,Sam Bowie\bowiesa01,C,32,LAL,25,556,13.6,0.535,0.023,0.483,5.1,21.2,12.8,12.1,0.4,3.2,17.1,19.1,,0.4,0.4,0.8,0.073,,-3.0,0.0,-3.1,-0.1,West
40,Shawn Bradley\bradlsh01,C,21,PHI,49,1385,11.6,0.446,0.006,0.342,7.7,16.5,12.1,11.1,1.6,6.4,20.8,22.4,,-2.7,1.6,-1.1,-0.039,,-5.4,2.9,-2.6,-0.2,East
41,Terrell Brandon\brandte01,PG,23,CLE,73,1548,15.0,0.489,0.057999999999999996,0.29600000000000004,2.8,9.1,6.0,27.9,2.8,0.7,15.2,21.1,,1.1,1.8,2.9,0.091,,-0.8,-0.2,-1.0,0.4,East
42,Randy Breuer\breuera01,C,33,SAC,26,247,5.4,0.295,0.038,0.5379999999999999,6.5,18.5,12.4,4.2,1.2,4.9,21.9,7.0,,-0.3,0.3,0.0,-0.006999999999999999,,-7.1,3.1,-3.9,-0.1,West
43,Frank Brickowski\brickfr01,C,34,TOT,71,2094,14.3,0.54,0.027000000000000003,0.337,4.5,17.9,11.0,17.2,1.9,0.8,17.3,21.5,,1.0,1.7,2.7,0.062,,-1.2,0.0,-1.2,0.4,NaN
43,Frank Brickowski\brickfr01,C,34,MIL,43,1441,14.7,0.54,0.035,0.36700000000000005,4.0,19.1,11.1,19.1,1.8,0.7,17.1,21.9,,0.8,1.1,1.9,0.065,,-1.1,0.0,-1.1,0.3,East
43,Frank Brickowski\brickfr01,C,34,CHH,28,653,13.4,0.541,0.009000000000000001,0.27,5.6,15.3,10.6,13.0,2.1,1.0,17.7,20.7,,0.2,0.6,0.7,0.055,,-1.5,0.2,-1.3,0.1,East
44,Kevin Brooks\brookke01,SF,24,DEN,34,190,5.3,0.41100000000000003,0.23199999999999998,0.10099999999999999,3.0,9.1,6.1,2.6,0.0,0.7,10.4,25.9,,-0.4,0.1,-0.2,-0.062,,-6.9,-5.4,-12.3,-0.5,West
45,Scott Brooks\brooksc01,PG,28,HOU,73,1225,12.2,0.584,0.21100000000000002,0.294,1.0,7.9,4.6,17.6,2.1,0.1,14.4,13.8,,1.8,1.6,3.3,0.131,,-1.2,-0.2,-1.4,0.2,West
46,Chucky Brown\brownch01,SF,25,DAL,1,10,10.8,1.042,0.0,1.0,0.0,12.1,5.6,0.0,0.0,0.0,0.0,6.1,,0.0,0.0,0.0,0.183,,-1.3,-4.8,-6.1,0.0,West
47,Dee Brown\brownde01,SG,25,BOS,77,2867,16.0,0.5329999999999999,0.094,0.214,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,,4.1,2.3,6.4,0.10800000000000001,,1.7,0.8,2.4,3.2,East
48,Mike Brown\brownmi01,C,30,MIN,82,1921,7.2,0.479,0.008,0.45399999999999996,7.4,19.6,13.6,5.4,1.3,1.0,19.4,8.8,,0.0,1.6,1.5,0.038,,-3.7,1.1,-2.6,-0.3,West
49,P.J. Brown\brownpj01,C,24,NJN,79,1950,12.2,0.48,0.015,0.37799999999999995,10.0,16.8,13.3,6.7,1.8,3.0,13.3,11.7,,1.4,2.8,4.2,0.105,,-1.7,3.0,1.3,1.6,East
50,Randy Brown\brownra02,PG,25,SAC,61,1041,9.3,0.47200000000000003,0.016,0.34700000000000003,4.1,7.7,5.9,18.3,3.0,0.9,20.6,14.8,,-0.4,0.8,0.4,0.017,,-3.3,0.6,-2.7,-0.2,West
51,Mark Bryant\bryanma01,C,28,POR,79,1441,9.9,0.514,0.003,0.271,8.5,15.6,11.9,3.5,1.1,1.3,13.3,14.0,,0.9,1.4,2.3,0.076,,-2.8,-0.2,-3.0,-0.4,West
52,Jud Buechler\buechju01,SF,25,GSW,36,218,14.9,0.5710000000000001,0.345,0.23800000000000002,6.6,9.3,7.9,10.6,1.8,0.3,11.5,19.8,,0.4,0.1,0.5,0.11199999999999999,,1.2,-2.8,-1.6,0.0,West
53,Matt Bullard\bullama01,PF,26,HOU,65,725,8.8,0.47600000000000003,0.6809999999999999,0.115,3.7,8.9,6.4,12.6,1.0,0.5,10.5,16.2,,0.2,0.8,1.0,0.068,,-1.2,-1.4,-2.6,-0.1,West
54,Evers Burns\burnsev01,PF,22,SAC,23,143,9.7,0.43,0.0,0.418,9.7,13.3,11.5,9.7,2.1,1.3,9.7,21.3,,-0.1,0.1,0.1,0.02,,-3.6,-1.2,-4.8,-0.1,West
55,Scott Burrell\burresc01,SF,23,CHH,51,767,10.4,0.461,0.026000000000000002,0.299,6.8,12.0,9.5,11.1,2.4,1.3,14.5,17.2,,-0.2,0.7,0.5,0.03,,-2.8,0.4,-2.3,-0.1,East
56,Willie Burton\burtowi01,SF,25,MIA,53,697,15.6,0.526,0.053,0.5579999999999999,8.1,14.0,11.1,8.9,1.3,2.0,13.3,25.1,,0.9,0.7,1.6,0.113,,-1.4,-1.7,-3.1,-0.2,East
57,Mitchell Butler\butlemi02,SG,23,WSB,75,1321,13.0,0.521,0.012,0.431,9.2,10.7,10.0,8.9,2.0,0.9,14.9,19.0,,0.7,0.4,1.1,0.04,,-1.2,-1.3,-2.5,-0.2,East
58,Michael Cage\cagemi01,C,32,SEA,82,1708,11.9,0.545,0.003,0.23600000000000002,11.3,19.5,15.4,3.5,2.3,1.6,12.8,10.0,,1.9,3.0,4.9,0.13699999999999998,,-1.2,1.9,0.7,1.2,West
59,Elden Campbell\campbel01,PF,25,LAL,76,2253,15.2,0.503,0.002,0.33799999999999997,7.7,17.7,12.5,5.7,1.4,4.1,9.6,19.2,,2.0,2.2,4.2,0.08900000000000001,,-1.9,0.7,-1.2,0.5,West
60,Tony Campbell\campbto01,SF,31,TOT,63,1214,13.3,0.491,0.055,0.23399999999999999,6.8,10.7,8.6,11.4,2.1,0.8,12.9,22.8,,0.4,1.2,1.5,0.061,,-1.8,-0.9,-2.7,-0.2,NaN
60,Tony Campbell\campbto01,SF,31,NYK,22,379,13.3,0.544,0.023,0.289,8.5,9.4,9.0,13.2,2.7,0.2,16.7,20.0,,0.3,0.7,1.1,0.139,,-0.8,1.6,0.8,0.3,East
60,Tony Campbell\campbto01,SF,31,DAL,41,835,13.3,0.473,0.065,0.21600000000000003,6.0,11.3,8.5,10.6,1.8,1.1,11.6,24.1,,0.0,0.4,0.5,0.026000000000000002,,-2.3,-2.0,-4.3,-0.5,West
61,Antoine Carr\carran01,PF,32,SAS,34,465,12.8,0.534,0.006,0.363,3.1,9.0,6.2,5.1,1.0,3.1,7.5,19.3,,0.7,0.5,1.2,0.124,,-2.1,-0.9,-3.0,-0.1,West
62,Bill Cartwright\cartwbi01,C,36,CHI,42,780,10.1,0.544,0.0,0.298,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,,0.4,0.9,1.3,0.077,,-3.1,-0.1,-3.2,-0.2,East
63,Sam Cassell\cassesa01,PG,24,HOU,66,1122,13.1,0.506,0.22699999999999998,0.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,0.09300000000000001,,-1.5,0.2,-1.3,0.2,West
64,Duane Causwell\causwdu01,C,25,SAC,41,674,11.8,0.545,0.0,0.496,10.8,19.6,15.1,2.3,1.4,4.6,16.5,12.5,,0.4,0.8,1.2,0.085,,-3.5,1.2,-2.3,0.0,West
65,Cedric Ceballos\cebalce01,SF,24,PHO,53,1602,20.9,0.5660000000000001,0.011000000000000001,0.278,10.9,13.3,12.1,9.4,1.8,0.9,9.4,25.8,,4.1,1.4,5.5,0.166,,2.7,-1.4,1.4,1.4,West
66,Tom Chambers\chambto01,PF,34,UTA,80,1838,13.4,0.512,0.06,0.376,5.5,14.8,10.2,6.8,1.1,1.2,9.3,23.1,,1.8,2.1,3.9,0.10099999999999999,,-1.6,-0.9,-2.5,-0.2,West
67,Rex Chapman\chapmre01,SG,26,WSB,60,2025,16.9,0.5720000000000001,0.191,0.23800000000000002,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,,4.2,-0.3,3.9,0.092,,2.7,-3.3,-0.5,0.7,East
68,Calbert Cheaney\cheanca01,SG,22,WSB,65,1604,14.0,0.508,0.033,0.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,,1.0,0.2,1.2,0.035,,-0.5,-2.3,-2.8,-0.3,East
69,Pete Chilcutt\chilcpe01,PF,25,TOT,76,1365,12.7,0.47200000000000003,0.033,0.145,10.1,19.8,14.9,9.7,1.9,1.8,13.4,17.2,,0.1,1.4,1.5,0.052000000000000005,,-2.5,0.9,-1.6,0.1,NaN
69,Pete Chilcutt\chilcpe01,PF,25,SAC,46,974,13.6,0.47700000000000004,0.003,0.159,11.0,19.6,15.2,11.2,2.2,1.8,13.8,17.6,,0.2,1.1,1.3,0.063,,-1.8,1.4,-0.4,0.4,West
69,Pete Chilcutt\chilcpe01,PF,25,DET,30,391,10.5,0.457,0.11699999999999999,0.10800000000000001,8.1,20.4,14.2,5.7,1.3,1.8,12.5,16.1,,-0.1,0.3,0.2,0.025,,-4.2,-0.4,-4.6,-0.3,East
70,Doug Christie\chrisdo01,SG,23,LAL,65,1515,13.5,0.514,0.212,0.37,6.4,10.6,8.4,13.4,3.0,1.2,17.6,22.1,,0.1,1.2,1.4,0.044000000000000004,,-0.5,0.0,-0.5,0.6,West
71,Ben Coleman\colembe01,PF,32,DET,9,77,11.6,0.491,0.0,0.32,14.2,23.4,18.7,0.0,1.3,1.7,19.7,20.2,,-0.1,0.1,0.0,-0.004,,-7.4,-5.3,-12.7,-0.2,East
72,Derrick Coleman\colemde01,PF,26,NJN,77,2778,21.4,0.534,0.1,0.469,9.8,23.5,16.5,15.6,1.2,3.2,12.5,25.3,,5.5,4.4,9.9,0.171,,2.4,2.1,4.5,4.5,East
73,Bimbo Coles\colesbi01,PG,25,MIA,76,1726,13.0,0.51,0.191,0.252,3.3,7.2,5.2,22.7,2.2,0.5,15.7,17.1,,1.8,1.4,3.2,0.08900000000000001,,-0.1,-1.0,-1.1,0.4,East
74,Marty Conlon\conloma01,C,26,TOT,30,579,15.0,0.619,0.012,0.321,10.4,16.6,13.5,8.7,0.8,0.9,14.9,16.3,,1.2,0.3,1.4,0.12,,0.5,-1.4,-1.0,0.2,NaN
74,Marty Conlon\conloma01,C,26,CHH,16,378,16.7,0.648,0.009000000000000001,0.349,10.2,15.6,13.0,10.9,0.7,1.1,15.5,16.8,,0.9,0.2,1.1,0.145,,1.6,-0.7,0.9,0.3,East
74,Marty Conlon\conloma01,C,26,WSB,14,201,11.8,0.5589999999999999,0.018000000000000002,0.268,10.9,18.4,14.5,4.5,1.0,0.3,13.8,15.5,,0.3,0.1,0.3,0.073,,-1.8,-2.7,-4.5,-0.1,East
75,Lester Conner\connele01,PG,34,IND,11,169,12.0,0.381,0.079,0.158,7.1,9.2,8.2,25.5,4.3,0.4,18.1,12.9,,0.0,0.3,0.3,0.075,,-1.5,2.2,0.7,0.1,East
76,Anthony Cook\cookan01,PF,26,TOT,25,203,11.3,0.47700000000000004,0.019,0.46299999999999997,10.7,21.6,15.8,3.1,0.8,4.6,15.6,16.4,,-0.1,0.2,0.1,0.02,,-5.9,-0.9,-6.7,-0.2,NaN
76,Anthony Cook\cookan01,PF,26,ORL,2,2,-7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,50.0,42.7,,0.0,0.0,0.0,-0.9490000000000001,,-43.1,30.5,-12.6,0.0,East
76,Anthony Cook\cookan01,PF,26,MIL,23,201,11.5,0.484,0.019,0.47200000000000003,10.8,21.8,16.0,3.1,0.8,4.0,14.7,16.1,,0.0,0.2,0.1,0.028999999999999998,,-5.5,-1.2,-6.7,-0.2,East
